r_group	smiles	atom_num
c1[*]cccc(F)c1	Fc1ccccc1	7
n1[*]c(C)c[nH]c1=O	Cc1c[nH]c(=O)[nH]1	7
N1[*]CCCCCC1	C1CCCNCC1	7
c1[*]c(O)n[nH]c1C	Cc1cc(O)n[nH]1	7
c1[*]csc(CC)n1	CCc1nccs1	7
N[*]c1cccn[nH+]1	Nc1cccn[nH+]1	7
C[*]c1nc[nH]c1C	Cc1nc[nH]c1C	7
N1[*]CCOC[C@H]1C	C[C@@H]1COCCN1	7
[*]/C=C\c1ccco1	[H]/C=C\c1ccco1	7
C[*]CC(=O)OCC	CCOC(=O)CC	7
c1[*]ccccc1Cl	Clc1ccccc1	7
N1[*]CCN(C)C1=O	CN1CCNC1=O	7
c1[*]cc(CC)no1	CCc1ccon1	7
C[*][NH+]1CCOCC1	C[NH+]1CCOCC1	7
C[*]n1cc(C)cn1	Cc1cnn(C)c1	7
C[*]C(=O)NC(C)C	CC(=O)NC(C)C	7
C[*]C[NH+](CC)CC	CC[NH+](CC)CC	7
N[*]C(=O)NC1CC1	NC(=O)NC1CC1	7
C[*]NC(=O)C1CC1	CNC(=O)C1CC1	7
c1[*]c(C)noc1C	Cc1cc(C)on1	7
C[*]C[C@H]1CCCO1	CC[C@H]1CCCO1	7
c1[*]cc(C)nn1C	Cc1ccn(C)n1	7
c1[*]cccc(O)c1	Oc1ccccc1	7
c1[*]ccccc1N	Nc1ccccc1	7
[N@H+][*](C)C1	C[C@@H]1CCC[NH2+]C1	7
C[*]N1CCCCC1	CN1CCCCC1	7
N1[*]CCC[C@@H](O)C1	O[C@@H]1CCCNC1	7
c1[*]nccnc1N	Nc1cnccn1	7
N1[*]CCCCC1=O	O=C1CCCCN1	7
C[*]c1ccccn1	Cc1ccccn1	7
C[*]c1cccnc1	Cc1cccnc1	7
c1[*]ccc(=O)[nH]n1	O=c1cccn[nH]1	7
N[*]c1ccccc1	Nc1ccccc1	7
N[*]C1CC[NH2+]CC1	NC1CC[NH2+]CC1	7
[*]/C=C\c1cccs1	[H]/C=C\c1cccs1	7
c1[*]ccc(C)n1C	Cc1cccn1C	7
C[*][C@@H]1CCC[N@@H+]1C	C[C@@H]1CCC[N@@H+]1C	7
C[*](=O)NCCC[NH3+]	[NH3+]CCCNC=O	7
[C@@H][*](C)n1cccn1	CCn1cccn1	7
C[*]c1ccncc1	Cc1ccncc1	7
c1[*]cccnc1O	Oc1ccccn1	7
C[*](=O)c1ncc[nH]1	O=Cc1ncc[nH]1	7
C[*]C[NH+]1CCCC1	CC[NH+]1CCCC1	7
C[*]c1ccccc1	Cc1ccccc1	7
O[*]C1CCCCC1	OC1CCCCC1	7
[N@@H+]1[*]C	C[C@@H]1CCCC[NH2+]1	7
C[*]Cn1ccnc1	CCn1ccnc1	7
[NH+]1[*]CCC(C)CC1	CC1CC[NH2+]CC1	7
c1[*]ccc([O-])nn1	[O-]c1cccnn1	7
N[*]C(=O)NC(C)C	CC(C)NC(N)=O	7
[C@H][*](C)CCO1	C[NH+]1CCOCC1	7
[C@@H][*](C)n1ccnc1	CCn1ccnc1	7
C[*]C[C@@H]1CCCO1	CC[C@@H]1CCCO1	7
C[*]C[N@H+](C)C(C)C	CC[N@H+](C)C(C)C	7
N1[*]CCS(=O)CC1	O=S1CCNCC1	7
S[*]c1n[nH]c(N)n1	Nc1nc(S)n[nH]1	7
[C@@H][*](C)OCC1CC1	CCOCC1CC1	7
[C@@H]1[*]CCC(=O)NC1	O=C1CCCCN1	7
[N@@H+]1[*]CO	OC[C@@H]1CCC[NH2+]1	7
c1[*]ccc(CO)o1	OCc1ccco1	7
C[*]N[C@H](C)COC	CN[C@H](C)COC	7
C1[*]CCC([NH3+])CC1	[NH3+]C1CCCCC1	7
[C@@H]1[*]C	CC1CCCCC1	7
c1[*]ncnc(N)n1	Nc1ncncn1	7
c1[*]cnn(CC)c1	CCn1cccn1	7
[NH+]1[*]CCCCCC1	C1CCC[NH2+]CC1	7
C[*](=O)c1ccc[nH]1	O=Cc1ccc[nH]1	7
c1[*]ccc(C)[nH+]n1	Cc1cccn[nH+]1	7
N[*]c1ccc[nH+]c1	Nc1ccc[nH+]c1	7
[C@H]1[*]C2	C1C[C@H]2CC[C@@H]1C2	7
[C@H]1[*]CC	CC[NH+]1CCCC1	7
N[*]C(=O)CC(C)C	CC(C)CC(N)=O	7
C[*]CC1CCCC1	CCC1CCCC1	7
[C@@H][*](C)C1	C[NH+]1CCCCC1	7
C[*]Cc1c[nH]c[nH+]1	CCc1c[nH]c[nH+]1	7
c1[*]ccccc1[O-]	[O-]c1ccccc1	7
[C@H][*]	[NH3+]CCCCC[NH3+]	7
C[*]Cc1c[nH]cn1	CCc1c[nH]cn1	7
c1[*]ccccc1C	Cc1ccccc1	7
N[*]C(=O)C[NH+](C)C	C[NH+](C)CC(N)=O	7
C[*][C@H]1CCC[C@H]1O	C[C@H]1CCC[C@H]1O	7
C[*](=O)c1cccs1	O=Cc1cccs1	7
[C@H][*](O)c1ccco1	OCc1ccco1	7
c1[*]ccc(N)nc1	Nc1ccccn1	7
[C@@H]1[*]CC	CC[NH+]1CCCC1	7
c1[*]n[nH]cc1CC	CCc1cn[nH]c1	7
c1[*]cc(C)[nH]c1C	Cc1ccc(C)[nH]1	7
c1[*]ccc(N)cc1	Nc1ccccc1	7
c1[*]ccc(Cl)cc1	Clc1ccccc1	7
c1[*]n[nH]c(=S)n1C	Cn1cn[nH]c1=S	7
C[*]Cc1ccco1	CCc1ccco1	7
[C@@H]1[*]CC(=O)N(C)C1	CN1CCCC1=O	7
N[*]C[C@H]1CCCO1	NC[C@H]1CCCO1	7
N[*]C1=[NH+]CCCN1	NC1=[NH+]CCCN1	7
S[*]c1ccccc1	Sc1ccccc1	7
[NH2+][*]C1CCCCC1	[NH3+]C1CCCCC1	7
[C@H]12[*]	C1=C[C@@H]2CC[C@H]2C1	7
c1[*]ccc(CC)s1	CCc1cccs1	7
c1[*]cc(C)oc1C	Cc1ccc(C)o1	7
C[*]CC(=O)N(C)C	CCC(=O)N(C)C	7
C[*]CCNC(N)=[NH2+]	CCCNC(N)=[NH2+]	7
[N@@H+][*](C)C1	C[C@H]1CCC[NH2+]C1	7
C1[*]CCCCCC1	C1CCCCCC1	7
n1[*]nc(C)cc1C	Cc1cc(C)[nH]n1	7
N[*]Cc1ccco1	NCc1ccco1	7
[C@H]1[*]CN(C)CCO1	CN1CCOCC1	7
S[*]C1CCCCC1	SC1CCCCC1	7
C[*][NH+]1CCCCC1	C[NH+]1CCCCC1	7
C[*][C@H]1CC=CCC1	C[C@H]1CC=CCC1	7
N1[*]CC[NH+](C)CC1	C[NH+]1CCNCC1	7
O[*]c1ccncc1	Oc1ccncc1	7
[C@@H]1[*]OC	COC1CCCC1	7
C1[*]CCC(O)CC1	OC1CCCCC1	7
N1[*]CCC[C@H](O)C1	O[C@H]1CCCNC1	7
C[*][C@@H]1CC=CCC1	C[C@@H]1CC=CCC1	7
C[*]c1[nH]c[nH+]c1C	Cc1[nH]c[nH+]c1C	7
C[*](=O)N[C@H](C)CC	CC[C@@H](C)NC=O	7
N[*]c1ccccn1	Nc1ccccn1	7
N1[*]CCO[C@@H](C)C1	C[C@H]1CNCCO1	7
c1[*]ccc(F)cc1	Fc1ccccc1	7
c1[*]cccnc1N	Nc1ccccn1	7
C1[*](O)CCCCC1	OC1CCCCC1	7
C[*](=O)N(CC)CC	CCN(C=O)CC	7
C[*]C(=O)NCCC[NH3+]	CC(=O)NCCC[NH3+]	8
c1[*]nc(C(C)C)n[nH]1	CC(C)c1nc[nH]n1	8
C[*]CN1CCCCO1	CCN1CCCCO1	8
[C@@H][*](O)c1ccccc1	OCc1ccccc1	8
O[*]c1cccc(C)c1	Cc1cccc(O)c1	8
C[*]c1ccc(C)n1C	Cc1ccc(C)n1C	8
c1[*]ccc(C)c(Cl)c1	Cc1ccccc1Cl	8
C[*]CC[C@H]1CCCO1	CCC[C@H]1CCCO1	8
C[*]Cc1cccn1C	CCc1cccn1C	8
c1[*]c(F)cccc1Cl	Fc1cccc(Cl)c1	8
O[*]c1cccc(F)c1	Oc1cccc(F)c1	8
n1[*]nc(C)c(C)c1C	Cc1n[nH]c(C)c1C	8
[C@H][*](C)c1ccccn1	CCc1ccccn1	8
c1[*]cc(C2CC2)n[nH]1	c1cc(C2CC2)n[nH]1	8
c1[*]nccc(OC)n1	COc1ccncn1	8
C[*]c1ccc(O)cc1	Cc1ccc(O)cc1	8
C1[*](O)CCCCCC1	OC1CCCCCC1	8
C[*]c1n[nH]c(=S)n1C	Cc1n[nH]c(=S)n1C	8
[N@@H+][*](CO)C1	OC[C@H]1CCC[NH2+]C1	8
[C@@H][*](O)Cn1cccn1	OCCn1cccn1	8
[C@@][*]CC1	O[C@@H]1CCC[NH2+]CC1	8
[NH2+][*]C1CCCCCC1	[NH3+]C1CCCCCC1	8
N1[*]C[C@@H](C)O[C@H](C)C1	C[C@@H]1CNC[C@@H](C)O1	8
[*]/C=C\c1c[nH+]c(N)[nH]1	[H]/C=C\c1c[nH+]c(N)[nH]1	8
c1[*]ccc(O)c(N)c1	Nc1ccccc1O	8
C[*]Cc1cnn(C)c1	CCc1cnn(C)c1	8
c1[*]ccc(F)cc1F	Fc1cccc(F)c1	8
N[*](C)C(=O)[C@H](C)SC	CNC(=O)[C@H](C)SC	8
c1[*]cc(C(C)=O)c[nH]1	CC(=O)c1cc[nH]c1	8
C[*]CC[C@H]1CCOC1	CCC[C@H]1CCOC1	8
N[*]Cc1cccnc1	NCc1cccnc1	8
C[*](=O)NC1CCCC1	O=CNC1CCCC1	8
c1[*]cc(C(C)C)n[nH]1	CC(C)c1cc[nH]n1	8
O[*]c1ccc(C)cc1	Cc1ccc(O)cc1	8
C[*]CCn1cccn1	CCCn1cccn1	8
O[*][C@H]1CCCC[C@@H]1C	C[C@H]1CCCC[C@@H]1O	8
c1[*]ccc(N)c(F)c1	Nc1ccccc1F	8
N1[*]CCC(C[NH3+])CC1	[NH3+]CC1CCNCC1	8
C[*][NH2+]C1CCCCC1	C[NH2+]C1CCCCC1	8
N1[*]CCCCCC1=O	O=C1CCCCCN1	8
c1[*]cc2c(s1)SCC2	c1cc2c(s1)SCC2	8
c1[*]cc(F)cc(F)c1	Fc1cccc(F)c1	8
c1[*]ccc(Cl)cc1Cl	Clc1cccc(Cl)c1	8
C[*]c1cccc(O)c1	Cc1cccc(O)c1	8
c1[*]cc(C)[nH]c(=O)c1	Cc1cccc(=O)[nH]1	8
O[*]c1ccccc1C	Cc1ccccc1O	8
C[*](=O)N(C)CC1CC1	CN(C=O)CC1CC1	8
C[*]CN1CCCC1=O	CCN1CCCC1=O	8
O[*]c1ccc(C)nc1	Cc1ccc(O)cn1	8
N[*]C(=O)CC(C)(C)C	CC(C)(C)CC(N)=O	8
c1[*]cn2ccsc2n1	c1cn2ccsc2n1	8
c1[*]cc(C)ccc1O	Cc1ccc(O)cc1	8
C[*][NH+]1CCCCCC1	C[NH+]1CCCCCC1	8
C[*][C@H](O)c1ccco1	C[C@H](O)c1ccco1	8
c1[*]ccccc1CO	OCc1ccccc1	8
O[*][C@@H]1CCC[C@@H](C)C1	C[C@@H]1CCC[C@@H](O)C1	8
[C@H]1[*]CCOCC1	CC[NH+]1CCOCC1	8
[*]/C=N\c1ccccc1	[H]/C=N\c1ccccc1	8
N[*]C(=O)c1ccco1	NC(=O)c1ccco1	8
N1[*]C[C@H](C)O[C@@H](C)C1	C[C@H]1CNC[C@H](C)O1	8
O[*][C@H]1CCCC[C@H]1C	C[C@@H]1CCCC[C@@H]1O	8
c1[*]ccc(C)cc1C	Cc1cccc(C)c1	8
C[*]C[NH+]1CCCCC1	CC[NH+]1CCCCC1	8
c1[*]n[nH]c2c1CCC2	c1n[nH]c2c1CCC2	8
c1[*]c[nH]c(=O)cc1C	Cc1cc[nH]c(=O)c1	8
C[*]c1ccccc1C	Cc1ccccc1C	8
C[*](=O)N1CC[C@H]([NH3+])C1	[NH3+][C@H]1CCN(C=O)C1	8
C[*]Cn1ccnc1C	CCn1ccnc1C	8
c1[*]cc(C)cnc1N	Cc1ccc(N)nc1	8
C[*]n1nc(C)cc1C	Cc1cc(C)n(C)n1	8
c1[*]c(C)c[nH]c1CC	CCc1cc(C)c[nH]1	8
